elevation;sp1;sp2;sp3;sp4;sp5;sp6;sp7;sp8;sp9;sp10;sp11;sp12;sp13;sp14;sp15;sp16;sp17;sp18;sp19;sp20;sp21;sp22;sp23;sp24;sp25;sp26;sp27;sp28;sp29;sp30;sp31;sp32;sp33;sp34;sp35;sp36;sp37;sp38;sp39;sp40;sp41
46.63;5;5;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;79;0;0;0;0;0
46.63;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46.63;7;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0
46.59;1;7;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;8;0;0;0;0;0;0;0;0
46.59;2;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0
46.53;0;8;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;0;0;0;0;0;0;0;0
46.47;0;10;0;0;0;0;0;6;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;0;0;0;0;0;0;0;0
46.44;0;8;0;2;0;0;0;2;0;0;0;0;0;3;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;67;0;0;0;0;0;0;0;0
46.39;1;7;1;1;0;0;0;5;0;0;0;0;5;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;14;6;0;0;0;0;0;0;0;0
46.38;9;0;0;1;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46.38;9;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
46.37;10;0;0;0;0;0;0;10;0;8;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46.39;9;1;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46.32;10;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46.3;8;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46.3;6;2;1;1;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
46.24;3;5;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0
46.23;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;0;0;0;46;39;0;0;0
46.3;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;86;0;0;0;4;0;0;0;0
46.27;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;3;0;0;0;79;0;0;0;0
46.28;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;74;0;0;0;0
46.24;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;0;0;0;26;0;0;0;0
46.27;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;18;0;0;0;41;0;0;0;0
46.2;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;63;0;0;0;0;0;1;0;0;0;0
46.14;1;9;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;6;0;17;0;95;0;0;0;0
46.13;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;0;0;0;0;0;0;0;0;0;29;0;7;0;25;0;0;0;0
46.1;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;44;1;0;0;22;10;0;0;0;0
46.12;1;9;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;5;12;0;0;0;41;0;0;0;0
46.09;0;10;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;5;30;0;0;0;41;0;0;0;0
46.04;1;9;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;49;0;0;0;0;41;0;0;5;3
46.07;0;10;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;19;34;0;0;0;36;0;0;0;0
46.01;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;11;5;0;0;96;0;0;0;0;0
46.04;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
46.02;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;72;0;0;0;0
46.08;1;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;5;0
45.93;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;53;0;30;0;0
46;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;24;0;3;0;64;0;5;0;0
45.97;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;0;21;0;0;0;11;0;12;0;0
45.93;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;10;0;71;0;0;0;42;0;0;0;0
45.9;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;18;0;0;0;99;0;0;0;0
45.9;2;8;0;0;0;0;16;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;8;0;5;0;0;0;0
45.81;0;10;0;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;0;2;0;34;0;0;0;0;0;0;2;0;4;0;0;0;40;0;0;0;0
45.78;0;10;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;15;0;0;0;4;0;18;0;18
45.89;0;10;0;0;0;0;16;0;0;0;0;0;0;0;0;7;0;0;0;0;0;6;0;23;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;25
45.88;1;9;0;0;0;0;22;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;0;16;5;0;0;0;0
45.77;3;7;0;0;0;0;12;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;18;96;0;0;0;0
45.7;1;7;0;0;2;0;5;0;0;0;0;0;0;0;0;8;0;0;0;0;0;6;49;0;0;0;0;0;0;0;0;0;0;7;0;0;68;0;0;0;0
45.7;3;7;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;13;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45.7;3;7;0;0;0;6;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45.75;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;18;14;0;0;0;0;0;0;0;0;0;7;0;0;7;0;0;0;0
45.7;5;5;0;0;0;0;9;0;0;0;0;0;0;0;0;14;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;53;0;0;0;0
45.66;1;9;0;0;0;0;10;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;25;0;35;0;0;0;0
45.7;2;8;0;0;0;0;47;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
45.66;2;8;0;0;0;0;46;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;13;0;0;0;0
45.64;1;9;0;0;0;0;0;3;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;3;0;0;39;0;0;0;0
45.62;1;9;0;0;0;0;9;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;3;14;0;61;0;0;0;0
45.6;0;8;0;0;2;0;15;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;0;0;0;0
45.58;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;6;0;0;20;0;0;0;0;0;0;0;72;0;0;0;0
45.56;0;10;0;0;0;0;41;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;73;0;0;0;0
45.54;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;13;0;0;9;0;0;0;0;0;0;0;98;0;0;0;0
45.52;0;9;0;0;1;0;11;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;6;0;2;0;2;0;0;0;0;0;0;90;0;0;0;0
45.5;0;10;0;0;0;0;34;0;0;0;0;0;0;0;8;0;0;58;0;0;0;0;0;17;0;0;0;0;6;0;0;0;0;0;0;0;16;0;0;0;0
45.5;0;10;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;74;0;0;0;0
45.5;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0
45.5;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;86;0;0;0;0
45.5;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;100;0;0;0;0
45.5;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;26;0;0;0;0;8;0;0;0;0;0;0;0;22;0;0;0;0
45.5;0;10;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0
